time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.02343281678e-06,10.0000050657,10.0080571005,0.000879272034725,0.00100234846838,0.0,-0.000248895994103,0.000295149067074,0.268544969768,-0.0115417336266,0.00983281063391,0.0,487.2889474567243,488.02324254880745,487.68656851709846,486.8239416128337
0.12000000000000001,-9.58951746188e-05,10.0000741035,10.0268776687,0.0102803885059,0.01664931467,0.0,-0.00434556986901,0.00291756077338,0.358769788009,0.0220817733556,0.0511565895462,0.0,432.6227120831499,436.0879223676677,431.9979296354771,434.8234042433004
0.18,-0.00070078380317,10.0004657043,10.0506595749,0.0137214251284,0.020150027098,0.0,-0.0161552029116,0.0104592952003,0.433924531617,0.0368621380773,0.05725003152,0.0,428.7033639870711,429.2226983299614,428.69396422511954,429.9480520571525
0.23999999999999996,-0.00219858153641,10.0014535122,10.0841475655,0.0169001914927,0.024751879244,0.0,-0.0343558289148,0.0228747789299,0.682207411709,0.0248229350099,0.0441559219435,0.0,482.72283349907036,481.7354853251542,482.17453133419946,481.26462639705795
0.3,-0.00474965993025,10.0031959248,10.1256098999,0.0347307217536,0.0369392604034,0.0,-0.0517456375135,0.0368467918418,0.699790514201,-0.020675812993,0.0768082765189,0.0,409.9236955308657,412.8170487515697,411.74669752707905,407.70221351534184
0.36000000000000004,-0.00866444181699,10.0061500479,10.1711810006,0.0363524782656,0.0433785609695,0.0,-0.0794057205817,0.0617719825316,0.819135072311,-0.00330391213107,0.0904784673796,0.0,444.2049606492171,445.32976939904376,442.1671184071488,443.5958284217775
0.4200000000000001,-0.0141699166953,10.010459631,10.219266818,0.0363300474469,0.0497465555698,0.0,-0.104643660282,0.0818756885981,0.783725217473,0.000243386301345,0.0785935526175,0.0,393.2963010202769,392.2014129424221,392.34999953837644,392.6792023417283
0.48000000000000015,-0.0213431583353,10.0160169567,10.2660758801,0.0393790591681,0.0578728775348,0.0,-0.135149424424,0.103646925735,0.776533269688,-0.0200764495023,0.0976593973702,0.0,401.89539615452776,403.626313520454,403.2042221000089,401.36456991625397
0.5400000000000001,-0.0309057245499,10.023214883,10.3196064831,0.041950948627,0.0637411053856,0.0,-0.18430967182,0.136562175337,1.00758545787,4.52877077062e-05,0.0948836180387,0.0,476.5399882858055,476.33509953889836,478.6882162955548,480.21687336016987
0.6000000000000002,-0.0434900392533,10.0323946522,10.3858235407,0.0425689436971,0.0702066687029,0.0,-0.23591751351,0.169501926111,1.19940738278,-0.0098306723372,0.0839801116327,0.0,467.43125592807064,466.58744672615614,467.1659684281414,466.3954152404407
0.6600000000000003,-0.0590025005295,10.0433671356,10.4590302798,0.0419780550252,0.0778847327833,0.0,-0.281864715557,0.196186803801,1.24071771056,-0.00988428667754,0.100616364053,0.0,419.35796530257494,420.80762927460273,420.1582840507255,420.15375381952964
0.7200000000000003,-0.0775513316999,10.0560125343,10.5364324269,0.0446586959979,0.0845062491291,0.0,-0.337090189766,0.2255715642,1.33916904401,0.0087723342109,0.107876535733,0.0,438.9826778435392,439.59401686131554,437.77012065634153,439.31968131254115
0.7800000000000004,-0.0998858523877,10.0706105947,10.6228715212,0.0454029193708,0.104901358728,0.0,-0.409814123275,0.261101206763,1.54163453687,0.00232013341234,0.0657840996418,0.0,472.75152554832727,469.50438414942107,471.8088967807461,471.3104239999093
0.8400000000000004,-0.126698970946,10.0872247662,10.7186015677,0.0455376110712,0.110165162655,0.0,-0.484475905679,0.292706348485,1.6491421799,0.00206776962184,0.0772111052273,0.0,443.26314419896744,444.20482939670825,442.74177051514465,442.720961643506
0.9000000000000005,-0.158213049139,10.1057811596,10.8217383908,0.0456607618686,0.115519096414,0.0,-0.566563872129,0.325837451301,1.78845373262,0.00202109039652,0.0666301880786,0.0,454.45446847875496,453.60974334031545,453.30062178691344,453.29682754211706
0.9600000000000005,-0.194608258589,10.1262877014,10.9318743513,0.0520491164373,0.119626107854,0.0,-0.647018903633,0.358321021571,1.88248836786,0.0282708720692,0.0616160137133,0.0,440.6098570732616,440.19830169139135,438.74141444444183,440.9152294397411
1.0200000000000005,-0.236130741085,10.14897382,11.0494121107,0.059064261107,0.123525720233,0.0,-0.737463396575,0.398661576601,2.03504574308,0.00177837482402,0.0654909810758,0.0,458.8051474758815,459.1154092545462,460.00372639239885,457.9011614028547
1.0800000000000005,-0.282212187099,10.1737659887,11.1684228991,0.0647687319848,0.128040309703,0.0,-0.798937996707,0.428141194057,1.93207668399,0.0265239316768,0.0727555885182,0.0,373.4596763736186,374.17199273178113,372.1546109298501,374.56879153287946
1.1400000000000006,-0.332557116795,10.2006518114,11.2851257995,0.0663516710414,0.132921581803,0.0,-0.879684899844,0.468184203009,1.95787490767,0.025972397489,0.0635956759131,0.0,419.81159298276833,419.0201007112559,418.7457480488209,418.6979610594623
1.2000000000000006,-0.387967080029,10.2300341385,11.404332432,0.0685505796437,0.136901533133,0.0,-0.967691589421,0.511412249591,2.01547569595,0.0336214516353,0.0669937891019,0.0,430.6389586054052,430.9295135917376,428.7590728325459,429.40866671283226
1.2600000000000007,-0.449065673642,10.2622188489,11.5293031183,0.0727293268356,0.141800675866,0.0,-1.06944448949,0.561811827494,2.1498084347,0.0485710404394,0.0554501681124,0.0,454.76006111778116,453.83731892640475,454.79536083922665,455.9918272116057
